USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         2  0.0  0.0      0     0 ?        S    14:43   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [rcu_gp]
root         4  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [rcu_par_gp]
root         6  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [kworker/0:0H-kblockd]
root         8  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [mm_percpu_wq]
root         9  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [ksoftirqd/0]
root        10  0.1  0.0      0     0 ?        I    14:43   0:05  \_ [rcu_preempt]
root        11  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [migration/0]
root        13  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [cpuhp/0]
root        14  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [cpuhp/1]
root        15  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [migration/1]
root        16  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [ksoftirqd/1]
root        18  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [kworker/1:0H-kblockd]
root        19  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [cpuhp/2]
root        20  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [kworker/1:1H-events_highpri]
root        21  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [migration/2]
root        22  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [ksoftirqd/2]
root        24  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [kworker/2:0H-events_highpri]
root        25  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [cpuhp/3]
root        26  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [kworker/2:1H-events_highpri]
root        27  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [migration/3]
root        28  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [ksoftirqd/3]
root        30  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [kworker/3:0H-kblockd]
